,id,own,Llnassets,Lexport,Lavwage,Linnovation,Llnkapital,LassetsGR,Finnovation
0,1.0,0.0,0.5650139,1.0,26621.95,1.0,17.3063,0.0287323,1.0
1,5.0,0.0,0.5969105,1.0,30657.465,1.0,17.591555,0.010782242,1.0
2,5383.0,0.0,-1.7529459,0.0,30332.55,1.0,13.690548,-0.25048256,0.0
3,3850.0,0.0,2.7701817,0.0,30233.113,0.0,17.365168,0.01758957,1.0
4,2456.0,0.0,0.5447731,1.0,26768.1,1.0,15.733999,0.009052277,0.0
5,2492.0,0.0,0.77376175,0.0,22605.348,0.0,15.532892,0.2012558,0.0
6,5171.0,0.0,-3.5657225,1.0,9073.593,0.0,13.901512,0.052657127,1.0
7,3237.0,0.0,-0.41150093,1.0,42316.484,1.0,16.42731,-1.1229019,1.0
8,186.0,0.0,-0.7949276,1.0,25294.223,0.0,14.365693,-0.0377903,0.0
9,4636.0,0.0,-2.1926632,0.0,10879.141,0.0,10.941633,0.032689095,0.0
10,4389.0,0.0,1.6051149,1.0,25105.492,0.0,14.9760475,0.06847763,0.0
11,160.0,0.0,-1.4586563,1.0,22566.078,0.0,12.161338,-0.1723938,0.0
12,1778.0,0.0,-0.0436821,0.0,41677.066,0.0,10.976917,0.18129349,0.0
13,262.0,0.0,0.8960314,1.0,12097.36,0.0,13.004889,-0.06871414,0.0
14,1088.0,0.0,-1.6197233,1.0,16167.315,1.0,13.929346,0.08107376,0.0
15,5364.0,0.0,-0.44583702,0.0,20306.822,0.0,15.987794,0.15137196,0.0
16,5256.0,0.0,-0.64638615,0.0,12540.928,1.0,11.82596,0.801981,0.0
17,4335.0,0.0,-0.30819416,0.0,16118.103,1.0,13.27257,-0.05073452,1.0
18,5138.0,0.0,-3.4121294,1.0,15431.276,1.0,13.455002,0.13610458,0.0
19,370.0,0.0,1.2483101,1.0,13656.715,1.0,14.127543,0.39417934,0.0
20,5244.0,0.0,-1.2178326,0.0,23828.68,0.0,11.376498,0.14533424,0.0
21,240.0,0.0,-1.3471012,1.0,18878.041,0.0,12.948268,0.012375832,0.0
22,5354.0,0.0,3.335105,1.0,28734.992,0.0,17.759102,0.3896904,0.0
23,3772.0,0.0,-2.776782,0.0,8723.401,0.0,9.868669,0.24329758,0.0
24,5352.0,0.0,2.8072739,1.0,43920.016,1.0,18.647541,-0.15729141,0.0
25,4956.0,0.0,0.5078182,1.0,37721.242,0.0,17.711647,0.015798569,0.0
26,143.0,0.0,2.1908293,1.0,19647.434,0.0,16.56789,0.10675812,1.0
27,4078.0,0.0,-1.628684,0.0,14913.824,0.0,11.669612,0.046839714,0.0
